Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std,Qubit Frequency
146,2025-11-24 19:16:31,5.1049098872546494e-06,1.4803784589056884e-07,nan,nan,5.15711012027964e-06,2.648959394852018e-06,nan
147,2025-11-24 19:17:08,5.239642836940561e-06,1.5876863817523676e-07,nan,nan,6.951833846802202e-06,3.975993752380392e-06,nan
148,2025-11-24 19:17:46,5.04508942178461e-06,1.7163832485494021e-07,nan,nan,4.574517272537548e-06,2.3964106495481646e-06,nan
149,2025-11-24 19:18:24,5.598518037608358e-06,1.9320965941992135e-07,nan,nan,1.0741887988441334e-05,5.08765633475249e-06,nan
150,2025-11-24 19:19:02,5.956135267437546e-06,1.5286954657052038e-07,nan,nan,8.41771057169538e-06,2.5256603190789265e-06,nan
151,2025-11-24 19:19:39,6.68953325067001e-06,1.7235114696779682e-07,nan,nan,1.2586881922072024e-05,3.3921360078197915e-06,nan
152,2025-11-24 19:20:17,5.615306889694693e-06,1.5141944430489344e-07,nan,nan,1.085102031672669e-05,2.3429921957505186e-06,nan
153,2025-11-24 19:20:54,6.044192639276247e-06,1.639124089502455e-07,nan,nan,7.375739427883943e-06,3.2422325255357837e-06,nan
154,2025-11-24 19:21:32,5.126046692005559e-06,1.615706157042356e-07,nan,nan,1.0870921619776652e-05,4.603574486835372e-06,nan
155,2025-11-24 19:22:10,5.080342567298501e-06,1.4052310201971649e-07,nan,nan,1.0176131575390102e-05,3.61207348311869e-06,nan
156,2025-11-24 19:22:47,5.306071446442573e-06,1.1727407014198793e-07,nan,nan,4.6306624978953437e-07,0.4389948022318148,nan
157,2025-11-24 19:23:25,4.981738090492627e-06,1.4072428041670383e-07,nan,nan,4.9197083253904594e-06,2.5283006406625896e-06,nan
158,2025-11-24 19:24:03,6.89355233207678e-06,1.4240219634121704e-07,nan,nan,1.7902821774828936e-05,3.2443184144646383e-06,nan
159,2025-11-24 19:24:40,6.429941705743403e-06,2.322666807019671e-07,nan,nan,1.8728577108939604e-05,2.468567188729737e-06,nan
160,2025-11-24 19:25:18,7.191712238840964e-06,1.3394988935249472e-07,1.2420813196856173e-05,4.865478876973221e-06,2.009100283295595e-05,2.727574115051553e-06,4361011432.505942
161,2025-11-24 19:25:56,6.7798043090760984e-06,1.8255268356139334e-07,1.1342748799991753e-05,3.240631857462574e-06,2.0658985258492635e-05,3.515495350303774e-06,4361011263.317933
162,2025-11-24 19:26:34,7.096736326817066e-06,1.3913337211483734e-07,1.5356695478141447e-05,2.9131170324673158e-06,1.6842436524333593e-05,2.6320252714529003e-06,4361011616.091024
163,2025-11-24 19:27:11,7.267168057989437e-06,1.1924387000728166e-07,8.135074027304512e-06,4.498116211251978e-06,1.9263901565702568e-05,3.035542040958229e-06,4361006204.698415
164,2025-11-24 19:27:49,7.492651099783032e-06,1.256620723503679e-07,1.4027617222689415e-05,4.788633815034128e-06,1.549773229680973e-05,2.599841158061514e-06,4361012822.940273
165,2025-11-24 19:28:27,6.881799351488027e-06,1.2599837237584383e-07,1.166868188540171e-05,1.1832919237603728e-05,1.6471881568502766e-05,2.954268931829664e-06,4361013630.688618
166,2025-11-24 19:29:04,7.3633239219272895e-06,1.513008680118513e-07,1.4083968514766454e-05,5.9815614003651485e-06,1.7174672947373182e-05,2.42210855002682e-06,4361013020.895193
167,2025-11-24 19:29:42,7.383722693266037e-06,1.4877532864869542e-07,8.899458673328198e-06,2.569389517549505e-05,1.6551253952945544e-05,2.9579485037838036e-06,4361012924.49072
168,2025-11-24 19:30:20,6.9678357352831455e-06,1.4991162084589628e-07,8.995330113670263e-06,0.5364367754822377,1.852264029644779e-05,3.2925253306764206e-06,4361016522.546722
169,2025-11-24 19:30:57,7.585173072977014e-06,1.3414019696728683e-07,1.0860538802726083e-05,5.081249001026792e-05,1.4483961043199045e-05,2.847020127991579e-06,4361014571.3345995
170,2025-11-24 19:31:35,7.5023356340686576e-06,1.1252709081366131e-07,1.085113646026592e-05,0.00016619922930970654,1.218518822643233e-05,2.1241785330200114e-06,4361015542.261324
171,2025-11-24 19:32:13,7.382019955981534e-06,1.3016458678062862e-07,1.11506674869144e-05,0.26147136120319664,2.1446903171185028e-05,3.4915979558092003e-06,4361016524.800272
172,2025-11-24 19:32:50,7.419902907646048e-06,1.4170335435900136e-07,1.2296059691774275e-05,0.3728053954685394,1.4693240297347643e-05,3.0381545620937413e-06,4361016524.103578
173,2025-11-24 19:33:28,7.430836466371105e-06,1.38991074188713e-07,1.2240248979944468e-05,1.002589011274749e-05,1.7589110842708422e-05,2.73520701796765e-06,4361013327.95141
